title,type
112. CSS3 有哪些新特性？（根据项目回答）,
113. 请解释一下 CSS3 的 Flex box（弹性盒布局模型），以及适用场景？,
114. 用纯 CSS 创建一个三角形的原理是什么？,
115. 一个满屏品字布局如何设计?,
116. CSS 多列等高如何实现？,
117. 经常遇到的浏览器的兼容性有哪些？原因，解决方法是什么，常用 hack 的技巧？,
118. li 与 li 之间有看不见的空白间隔是什么原因引起的？有什么解决办法？,
119. 为什么要初始化 CSS 样式？,
120. 什么是包含块，对于包含块的理解?,
121. CSS 里的 visibility 属性有个 collapse 属性值是干嘛用的？在不同浏览器下以后什么区别？,
122. width:auto 和 width:100%的区别,
123. 绝对定位元素与非绝对定位元素的百分比计算的区别,
124. 简单介绍使用图片 base64 编码的优点和缺点。,
125. 'display'、'position'和'float'的相互关系？,
126. margin 重叠问题的理解。,
127. 对 BFC 规范（块级格式化上下文：block formatting context）的理解？,
128. IFC 是什么？,
129. 请解释一下为什么需要清除浮动？清除浮动的方式,
130. 使用 clear 属性清除浮动的原理？,
131. zoom:1 的清除浮动原理?,
132. 移动端的布局用过媒体查询吗？,
133. 使用 CSS 预处理器吗？喜欢哪个？,
134. CSS 优化、提高性能的方法有哪些？,
135. 浏览器是怎样解析 CSS 选择器的？,
136. 在网页中应该使用奇数还是偶数的字体？为什么呢？,
137. margin 和 padding 分别适合什么场景使用？,
138. 抽离样式模块怎么写，说出思路，有无实践经验？[阿里航旅的面试题],
139. 简单说一下 css3 的 all 属性。,
140. 为什么不建议使用统配符初始化 css 样式。,
141. absolute 的 containingblock（包含块）计算方式跟正常流有什么不同？,
142. 对于 hasLayout 的理解？,
143. 元素竖向的百分比设定是相对于容器的高度吗？,
144. 全屏滚动的原理是什么？用到了 CSS 的哪些属性？（待深入实践）,
145. 什么是响应式设计？响应式设计的基本原理是什么？如何兼容低版本的 IE？（待深入了解）,
146. 视差滚动效果，如何给每页做不同的动画？（回到顶部，向下滑动要再次出现，和只出现一次分别怎么,
147. 如何修改 chrome 记住密码后自动填充表单的黄色背景？,
148. 怎么让 Chrome 支持小于 12px 的文字？,
149. 让页面里的字体变清晰，变细用 CSS 怎么做？,
150. font-style 属性中 italic 和 oblique 的区别？,
151. 设备像素、css 像素、设备独立像素、dpr、ppi 之间的区别？,
152. layout viewport、visual viewport 和 ideal viewport 的区别？,
153. position:fixed;在 android 下无效怎么处理？,
154. 如果需要手动写动画，你认为最小时间间隔是多久，为什么？（阿里）,
155. 如何让去除 inline-block 元素间间距？,
156. overflow:scroll 时不能平滑滚动的问题怎么处理？,
157. 有一个高度自适应的 div，里面有两个 div，一个高度 100px，希望另一个填满剩下的高度。,
158. png、jpg、gif 这些图片格式解释一下，分别什么时候用。有没有了解过 webp？,
159. 浏览器如何判断是否支持 webp 格式图片,
160. 什么是 Cookie 隔离？（或者说：请求资源的时候不要让它带 cookie 怎么做）,
161. style 标签写在 body 后与 body 前有什么区别？,
162. 什么是 CSS 预处理器/后处理器？,
163. 阐述一下 CSSSprites,
164. 使用 rem 布局的优缺点？,
165. 几种常见的 CSS 布局,
166. 画一条 0. 5px 的线,
167. transition 和 animation 的区别,
168. 什么是首选最小宽度？,
169. 为什么 height:100%会无效？,
170. min-width/max-width 和 min-height/max-height 属性间的覆盖规则？,
171. 内联盒模型基本概念,
172. 什么是幽灵空白节点？,
173. 什么是替换元素？,
174. 替换元素的计算规则？,
175. content 与替换元素的关系？,
176. margin:auto 的填充规则？,
177. margin 无效的情形,
178. border 的特殊性？,
179. 什么是基线和 x-height？,
180. line-height 的特殊性？,
181. vertical-align 的特殊性？,
182. overflow 的特殊性？,
183. 无依赖绝对定位是什么？,
184. absolute 与 overflow 的关系？,
185. clip 裁剪是什么？,
186. relative 的特殊性？,
187. 什么是层叠上下文？,
188. 什么是层叠水平？,
189. 元素的层叠顺序？,
190. 层叠准则？,
191. font-weight 的特殊性？,
192. text-indent 的特殊性？,
193. letter-spacing 与字符间距？,
194. word-spacing 与单词间距？,
195. white-space 与换行和空格的控制？,
196. 隐藏元素的 background-image 到底加不加载？,
197. 如何实现单行／多行文本溢出的省略（...）？,
198. 常见的元素隐藏方式？,
199. css 实现上下固定中间自适应布局？,
200. css 两栏布局的实现？,
201. css 三栏布局的实现？,
202. 实现一个宽高自适应的正方形,
203. 实现一个三角形,
204. 一个自适应矩形，水平垂直居中，且宽高比为 2:1,
205. 你知道 CSS 中不同属性设置为百分比%时对应的计算基准？,
206. ::before 和:after 中双冒号和单冒号有什么区别？解释一下这 2 个伪元素的作用。,
207. 伪类与伪元素的区别,
208. CSS 中哪些属性可以继承？,
209. png-8和png-24有什么区别？,
